Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
55	268.16666	85.82427	398.0	166.0	500.0	0.0	500.0	500.0	268.16666	500.0	109999	43.685	10.925631	51.748684	-8.228395	43.684963	10.9259815	52.01456	-9.303103	-0.3631375	0.6699792	4.4580607	-8.005133	-43.901733	3.9629395	711.6563725471497
56	500.0	0.0	500.0	500.0	449.8	69.85957	500.0	320.0	500.0	449.8	111999	43.844864	10.803521	51.897434	-7.4915624	43.844746	10.802641	51.651867	-8.072008	-0.3394793	0.6873656	4.498593	-6.8152432	-44.062756	2.744422	726.5325443744659
57	500.0	0.0	500.0	500.0	444.0	69.71944	500.0	328.0	500.0	444.0	113999	43.912334	10.831845	51.61622	-6.813311	43.912323	10.831913	51.790497	-7.739341	-0.34821597	0.6925055	4.056757	-10.858306	-44.126904	3.478354	740.8783338069916
58	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	115999	43.976345	10.750914	51.707737	-7.1057587	43.97625	10.749348	51.86979	-7.1435003	-0.34021237	0.69173175	4.4661503	-7.195789	-44.189095	3.6073442	754.9179139137268
59	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	117999	44.03975	10.662727	51.751846	-5.6985083	44.039845	10.661344	51.63362	-7.908294	-0.35049513	0.6908916	5.5642347	-6.884218	-44.25203	3.4695196	768.863853931427
60	343.7143	125.24345	500.0	186.0	500.0	0.0	500.0	500.0	343.7143	500.0	119999	44.096104	10.648481	51.885746	-6.8063726	44.096096	10.647416	51.77219	-7.809032	-0.36662784	0.66591156	4.5715895	-7.357939	-44.288696	3.2204208	783.182107925415
61	411.5	80.40056	500.0	324.0	500.0	0.0	500.0	500.0	411.5	500.0	121999	44.0819	10.705548	51.810436	-6.2707753	44.082092	10.704352	51.792797	-6.723771	-0.37187463	0.674272	4.560629	-5.9681177	-44.273624	3.6076808	797.2726039886475
62	380.5	167.29192	500.0	18.0	500.0	0.0	500.0	500.0	380.5	500.0	123999	44.01558	10.675058	52.05703	-17.687311	44.01559	10.674134	52.378597	-20.90322	-0.3749311	0.6587499	6.1272373	-7.257686	-44.218567	4.4339232	810.6584088802338
63	416.0	86.63718	500.0	302.0	450.8	72.26174	500.0	314.0	416.0	450.8	125999	43.945724	10.7543125	51.715294	-23.798893	43.945663	10.752533	51.85823	-24.236906	-0.3606065	0.67667943	12.053255	-6.619871	-44.14068	3.7187686	824.7216382026672
64	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	127999	44.03231	10.608898	51.73858	-24.234793	44.032402	10.60734	51.616257	-24.225988	-0.3547715	0.6868443	11.991278	-8.926155	-44.227135	4.5491967	840.2249066829681
65	497.75	3.8971143	500.0	491.0	500.0	0.0	500.0	500.0	497.75	500.0	129999	44.03285	10.658822	51.664303	-18.076092	44.032913	10.657478	51.70871	-21.173252	-0.35566914	0.6836915	12.456232	-7.424739	-44.225677	3.5020375	857.9668955802917
66	375.5	109.17684	500.0	197.0	500.0	0.0	500.0	500.0	375.5	500.0	131999	44.049507	10.680751	51.550262	-22.42167	44.04966	10.679381	51.724552	-14.368768	-0.3545302	0.69459957	5.55084	-7.126775	-44.24274	4.069839	873.9124166965485
67	448.75	88.7676	500.0	295.0	500.0	0.0	500.0	500.0	448.75	500.0	133999	44.06422	10.665896	51.72348	-22.322575	44.064163	10.665305	51.802837	-28.527407	-0.35697895	0.67618716	6.457779	-9.507263	-44.25327	4.258833	887.0612325668335
68	452.6	94.8	500.0	263.0	500.0	0.0	500.0	500.0	452.6	500.0	135999	44.12316	10.596292	51.60361	-19.674755	44.123062	10.595682	51.777866	-20.76903	-0.34215975	0.69886816	8.649422	-6.6762943	-44.313446	3.5087876	901.1230454444885
